Pdose,Ndose,energy,model,Vd,Voltage,Current
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.9625,0.00045867948320300000
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,1,0.00094521112917600000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.05,0.00000000000000008767
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.0595,0.00000000000000011061
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.073433333,0.00000000000000015117
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.093868889,0.00000000000000023165
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.123841037,0.00000000000000042351
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.167800188,0.00000000000000103962
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.215300188,0.00000000000000298552
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.262800188,0.00000000000001011962
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.310300188,0.00000000000004257318
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.357800188,0.00000000000021632170
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.405300188,0.00000000000123382166
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.452800188,0.00000000000743979930
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.500300188,0.00000000004592599103
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.547800188,0.00000000028614597542
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.595300188,0.00000000178929443724
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.642800188,0.00000001120349155100
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.690300188,0.00000007013875811800
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.737800188,0.00000043724372389200
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.785300188,0.00000265743663797000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.832800188,0.00001436387892450000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.880300188,0.00005755549905480000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.927800188,0.00016147018900200000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.975300188,0.00034663393467900000
1000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,1,0.00047793622828000000
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-1,-0.00000000000000042397
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.98,-0.00000000000000042087
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.950666667,-0.00000000000000041582
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.907644444,-0.00000000000000040683
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.844545185,-0.00000000000000038872
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.751999605,-0.00000000000000034883
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.651999605,-0.00000000000000029272
